?,adjacent water of Hanrim,Almirante Bay,Balayan Bay,Bohai Sea,Club de Yates,Coral Sea,East China Sea,Gulf of Mexico,Gulf of Thailand,Howe Sound/Sunshine Coast,Korea Straight,Mozambique Channel,North Sea,Queen Charlotte Islands,Queen Charlotte Sound,San Pedro Shelf,Skagerrak Straight,South Atlantic Ocean,South China Sea,South Pacific Ocean,South San Diego Shelf,Tonkin Gulf,Verde Island Passage,Yellow Sea,ambig,taxa
0,0,0,0,0,0.35434782608695653,0,0.06304347826086956,0,0,0,0,0.35434782608695653,0,0,0,0,0,0,0,0.22826086956521738,0,0,0,0,TRUE,FWRI_I_00036_Luidia_alternata
0,0,0,0,0,0,0,0.2761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0.7238095238095238,0,0,0,0,FALSE,FSBC_I_133245_Luidia_barbadensis
0,0.35294117647058826,0.058823529411764705,0.058823529411764705,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0.35294117647058826,0,0,0.058823529411764705,0,0,0.058823529411764705,0,TRUE,Luidia_barbadensis_481
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FWRI_I_00149_128086_Luidia_barbadensis_COI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,FWRI_I_00018_Luidia_senegalensis
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730728_1_Asteroidea_sp_RCMBAR1003
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730776_1_Asteroidea_sp_RCMBAR2351
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730704_1_Asteroidea_sp_RCMBAR687
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730669_1_Asteroidea_sp_RCMBAR1006
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,MN730764_1_Asteroidea_sp_RCMBAR580
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00021_Luidia_lawrencei
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00027_Luidia_lawrencei
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00026_Luidia_lawrencei
0,0,0.6666666666666666,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00030_Luidia_clathrata
0.2857142857142857,0,0.2857142857142857,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FWRI_I_00034_Luidia_clathrata
